Customer,Project Billing,Product,Datacenter,Project Product,SUM of Latest ARC EUR
,,,,"QuantFEED Market Data - SGX FX Futures & Options (1458:SFX) - Ref, L1 - Real-Time",0
,,,,"QuantFEED Market Data - SGX Singapore Exchange Equities (1091:SGX) - Ref, L1 - Real-Time","3,880"
,,,,"QuantFEED Market Data - Singapore SE Derivatives Index Futures & Options  (1222:SGZ) - Ref, L1 - Real-Time","7,015"
,,,,"QuantFEED Market Data - Warsaw Stock Exchange, Warsaw Stock Exchange (NewConnect) (1101:WAR,1230:WAS) - Ref, L1 - Real-Time","7,015"
,,,EU - London - Interxion - LON1 Total,,"170,845"
,,,EU - Slough - Equinix - LD4,"QuantFEED Market Data - ASX 24 Derivatives (1005:AUD) - Ref, L1 - Real-Time","9,134"
,,,,"QuantFEED Market Data - Athens Indices including FTSE/Athens Indices (1174:ATI) - Ref, L1 - Real-Time","8,729"
,,,,"QuantFEED Market Data - Athens Securities (1004:ATH) - Ref, L1 - Real-Time","8,729"
,,,,"QuantFEED Market Data - BME MEFF Derivatives (1013:MEF) - Ref, L1 - Real-Time","8,794"
,,,,"QuantFEED Market Data - Cboe BZX (1009:BZX) - Ref, L1 - Real-Time","8,729"
,,,,"QuantFEED Market Data - Cboe Europe BXE and CXE (1007:BAE) - Ref, L1 - Real-Time","8,495"
,,,,"QuantFEED Market Data - Cboe Europe DXE (1305:CBV) - Ref, L1 - Real-Time","4,180"
,,,,"QuantFEED Market Data - Cboe Futures Exchange (1123:CBE) - Ref, L1 - Real-Time","8,729"
,,,,"QuantFEED Market Data - Chicago Board of Trade CBOT (1022:CBO) - Ref, L1 - Real-Time","8,495"
,,,,"QuantFEED Market Data - Chicago Mercantile Exchange CME (1027:CME) - Ref, L1 - Real-Time","8,794"
,,,,"QuantFEED Market Data - Eurex Ultra Futures (1032:EUF) - Ref, L1 - Real-Time","8,729"
